,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,City_found
313,38.42,77.24,73.29,32,30,2.39,CN,1597089378,Shache
314,37.17,-119.83,98.01,24,0,4.0,US,1597089378,Madera
315,21.07,-104.07,84.99,57,99,1.1,MX,1597089378,Hostotipaquillo
316,29.33,113.09,78.12,87,0,2.68,CN,1597089378,Yueyang
317,18.9,-3.53,102.4,10,4,3.2,ML,1597089379,Araouane
318,55.3,-123.17,60.8,44,90,11.41,CA,1597089379,Mackenzie
319,46.42,3.91,75.2,60,100,5.82,FR,1597089379,Saint-François
320,3.66,-76.69,87.8,48,75,5.82,CO,1597089379,Dagua
321,55.78,-118.84,64.4,39,75,20.8,CA,1597089379,Spirit River
322,46.23,14.17,73.0,81,100,2.1,SI,1597089380,Železniki
323,20.93,-17.03,73.4,78,100,21.92,MR,1597089380,Nouadhibou
324,66.32,-179.17,49.23,85,83,2.3,RU,1597089380,Egvekinot
325,37.18,-113.29,100.99,11,0,1.99,US,1597089380,Hurricane
326,47.67,-52.73,81.0,54,75,12.75,CA,1597089381,Torbay
327,-12.04,-77.03,62.6,72,90,13.87,PE,1597089321,Lima
328,-5.89,-35.76,80.6,61,36,13.87,BR,1597089381,São Paulo do Potengi
329,2.67,72.89,82.22,76,100,10.49,MV,1597089381,Kudahuvadhoo
330,37.57,126.98,77.0,100,90,7.56,KR,1597089348,Seoul
331,34.8,-106.54,97.0,14,40,3.36,US,1597089382,Meadow Lake
332,2.18,22.47,73.56,90,60,2.48,CD,1597089382,Bumba
333,-16.92,145.77,62.6,77,90,5.82,AU,1597089160,Cairns
334,-19.98,23.42,60.8,41,0,1.12,BW,1597089382,Maun
335,69.22,-51.1,46.4,61,40,6.93,GL,1597089116,Ilulissat
336,25.93,81.98,85.15,76,100,6.22,IN,1597089383,Bela
337,12.16,6.66,74.37,87,99,9.86,NG,1597089383,Gusau
338,36.56,104.21,70.0,100,40,2.24,CN,1597089383,Baiyin
339,-7.26,-64.8,100.99,22,0,2.68,BR,1597089383,Lábrea
340,-10.75,-77.77,64.38,71,7,12.35,PE,1597089384,Barranca
341,50.61,105.32,54.73,67,14,3.22,RU,1597089384,Petropavlovka
342,66.56,67.8,49.39,95,100,12.64,RU,1597089384,Aksarka
343,26.42,-81.42,95.0,66,1,4.7,US,1597089281,Immokalee
344,70.37,31.11,50.0,87,75,11.41,NO,1597089385,Vardø
345,66.5,25.72,51.8,76,0,4.7,FI,1597089385,Rovaniemi
346,22.2,113.55,84.2,83,40,11.41,MO,1597089341,Macao
347,7.77,-72.22,91.4,41,40,20.8,VE,1597089385,San Cristobal
348,42.25,-75.83,90.0,54,40,6.93,US,1597089385,Broome
349,-10.13,-36.18,73.76,74,0,7.67,BR,1597089386,Coruripe
350,6.5,2.6,77.0,88,40,11.41,BJ,1597089386,Porto-Novo
351,47.47,-94.88,77.0,31,1,16.11,US,1597089386,Bemidji
352,-9.17,-60.63,98.67,20,35,2.57,BR,1597089386,Aripuanã
353,24.69,46.72,95.0,12,53,10.29,SA,1597089205,Riyadh
354,-19.68,-51.19,87.57,23,0,3.33,BR,1597089387,Paranaíba
355,41.19,61.4,74.82,26,0,10.2,TM,1597089387,Gazojak
356,-26.79,-60.44,93.11,22,0,7.58,AR,1597089387,Presidencia Roque Sáenz Peña
357,3.04,29.54,65.86,98,99,1.77,CD,1597089387,Watsa
358,71.04,27.85,50.0,93,75,12.75,NO,1597089388,Mehamn
359,-36.32,145.05,44.01,87,92,1.01,AU,1597089388,Kyabram
360,-1.57,9.26,73.72,79,63,8.75,GA,1597089388,Omboué
361,58.61,5.65,64.0,94,89,3.76,NO,1597089388,Varhaug
362,5.97,80.42,78.28,88,94,8.79,LK,1597089389,Weligama
363,51.15,37.89,65.3,66,59,3.2,RU,1597089389,Novikovo
364,40.16,-8.33,71.01,76,100,1.01,PT,1597089389,Lata
365,20.7,-105.2,91.0,66,40,8.05,MX,1597089389,Ixtapa
366,45.84,-119.29,84.99,28,1,5.82,US,1597089390,Hermiston
